Date, Meditation, Therapy, Exercise, Cry, Mood,Notes
20/09/23,0,1,0,5,2,"</3 m, argued with su, lost a patient"
21/09/23,0,0,1,1,4,"Therapy was good, met a dog today, had a PCT social which was very fun"
22/09/23,0,1,0,0,7,"m </3, met a dog, went to Westwood to meet D, saw weyburn dorms :( "
25/09/23,0,1,1,1,5,"caught up with tbt, fd, kb, good day at work, self reflection time"
26/09/23,0,0,0,0,4,"clinic was just okay, nervous for MICU"
27/09/23,0,0,1,0,5,"nervous for MICU, working through life goals, caught up with as/rc/lv, </3- improving"
28/09/23,0,0,0,1,4,"code this morning, no ROSC; </3; lonely"
01/10/23,0,0,0,3,2,"work was hard, called csm, which helped, call was brief, reminded of what matters but sad about the situations"
01/10/23,0,0,0,0,4,"much better than yesterday, stewing over the events and conclusions, making plans to change things for the better-- some optimism"
02/10/23,1,0,0,1,4,"difficult work events, feeling tired"
02/10/23,1,0,1,0,5,"long day, new admit became very unstable, worked through systems based presentations, which was interesting; new attending/fellow team, really enjoyed rounding; lots of good teaching"
